"","Items","quantity","price","total","y"
"2047","CDiskCoconut",3,26.9,80.7,2019-04-13
"2048","SmudgeBundle",4,53.3,213.2,2019-04-13
"2049","LoofahPack",5,12.1,60.5,2019-04-13
"2050","Package1",1,52.7,52.7,2019-04-13
"2051","BeeswaxCandle",1,27.2,27.2,2019-04-13
"2052","PackTeaCandles",2,8,16,2019-04-13
"2053","DreamPouch",2,18.8,37.6,2019-04-13
"2054","ParisPMirror",3,6.6,19.8,2019-04-13
"2055","MilanPMirror",1,5.7,5.7,2019-04-13
"2056","LoofahPack",1,29.4,29.4,2019-04-13
"2057","Package2",2,34.8,69.6,2019-04-13
"2058","Package3",4,34.9,139.6,2019-04-13
"2059","Package4",3,24.9,74.7,2019-04-13
"2060","Package5",4,24.8,99.2,2019-04-13
"2061","DriedBoquet1",1,49.5,49.5,2019-04-14
"2062","DriedBoquet2",3,41,123,2019-04-14
"2063","EucalyptSmudge",5,15.6,78,2019-04-14
"2064","SageSmudge",1,16.3,16.3,2019-04-14
"2065","RosePotpourri",1,12,12,2019-04-14
"2066","CDiskBamboo",4,29,116,2019-04-14
"2067","CDiskCoconut",3,26.9,80.7,2019-04-14
"2068","SmudgeBundle",4,53.3,213.2,2019-04-14
"2069","LoofahPack",5,12.1,60.5,2019-04-14
"2070","Package1",1,52.7,52.7,2019-04-14
"2071","BeeswaxCandle",1,27.2,27.2,2019-04-14
"2072","PackTeaCandles",2,8,16,2019-04-14
"2073","DreamPouch",2,18.8,37.6,2019-04-14
"2074","ParisPMirror",3,6.6,19.8,2019-04-14
"2075","MilanPMirror",1,5.7,5.7,2019-04-14
"2076","LoofahPack",1,29.4,29.4,2019-04-14
"2077","Package2",2,34.8,69.6,2019-04-14
"2078","Package3",4,34.9,139.6,2019-04-14
"2079","Package4",3,24.9,74.7,2019-04-14
"2080","Package5",4,24.8,99.2,2019-04-14
"2081","DriedBoquet1",1,49.5,49.5,2019-04-15
"2082","DriedBoquet2",3,41,123,2019-04-15
"2083","EucalyptSmudge",5,15.6,78,2019-04-15
"2084","SageSmudge",1,16.3,16.3,2019-04-15
"2085","RosePotpourri",1,12,12,2019-04-15
"2086","CDiskBamboo",4,29,116,2019-04-15
"2087","CDiskCoconut",3,26.9,80.7,2019-04-15
"2088","SmudgeBundle",4,53.3,213.2,2019-04-15
"2089","LoofahPack",5,12.1,60.5,2019-04-15
"2090","Package1",1,52.7,52.7,2019-04-15
"2091","BeeswaxCandle",1,27.2,27.2,2019-04-15
"2092","PackTeaCandles",2,8,16,2019-04-15
"2093","DreamPouch",2,18.8,37.6,2019-04-15
"2094","ParisPMirror",3,6.6,19.8,2019-04-15
"2095","MilanPMirror",1,5.7,5.7,2019-04-15
"2096","LoofahPack",1,29.4,29.4,2019-04-15
"2097","Package2",2,34.8,69.6,2019-04-15
"2098","Package3",4,34.9,139.6,2019-04-15
"2099","Package4",3,24.9,74.7,2019-04-15
"2100","Package5",4,24.8,99.2,2019-04-15
"2101","DriedBoquet1",1,49.5,49.5,2019-04-16
"2102","DriedBoquet2",3,41,123,2019-04-16
"2103","EucalyptSmudge",5,15.6,78,2019-04-16
"2104","SageSmudge",1,16.3,16.3,2019-04-16
"2105","RosePotpourri",1,12,12,2019-04-16
"2106","CDiskBamboo",4,29,116,2019-04-16
"2107","CDiskCoconut",3,26.9,80.7,2019-04-16
"2108","SmudgeBundle",4,53.3,213.2,2019-04-16
"2109","LoofahPack",5,12.1,60.5,2019-04-16
"2110","Package1",1,52.7,52.7,2019-04-16
"2111","BeeswaxCandle",1,27.2,27.2,2019-04-16
"2112","PackTeaCandles",2,8,16,2019-04-16
"2113","DreamPouch",2,18.8,37.6,2019-04-16
"2114","ParisPMirror",3,6.6,19.8,2019-04-16
"2115","MilanPMirror",1,5.7,5.7,2019-04-16
"2116","LoofahPack",1,29.4,29.4,2019-04-16
"2117","Package2",2,34.8,69.6,2019-04-16
"2118","Package3",4,34.9,139.6,2019-04-16
"2119","Package4",3,24.9,74.7,2019-04-16
"2120","Package5",4,24.8,99.2,2019-04-16
"2121","DriedBoquet1",1,49.5,49.5,2019-04-17
"2122","DriedBoquet2",3,41,123,2019-04-17
"2123","EucalyptSmudge",5,15.6,78,2019-04-17
"2124","SageSmudge",1,16.3,16.3,2019-04-17
"2125","RosePotpourri",1,12,12,2019-04-17
"2126","CDiskBamboo",4,29,116,2019-04-17
"2127","CDiskCoconut",3,26.9,80.7,2019-04-17
"2128","SmudgeBundle",4,53.3,213.2,2019-04-17
"2129","LoofahPack",5,12.1,60.5,2019-04-17
"2130","Package1",1,52.7,52.7,2019-04-17
"2131","BeeswaxCandle",1,27.2,27.2,2019-04-17
"2132","PackTeaCandles",2,8,16,2019-04-17
"2133","DreamPouch",2,18.8,37.6,2019-04-17
"2134","ParisPMirror",3,6.6,19.8,2019-04-17
"2135","MilanPMirror",1,5.7,5.7,2019-04-17
"2136","LoofahPack",1,29.4,29.4,2019-04-17
"2137","Package2",2,34.8,69.6,2019-04-17
"2138","Package3",4,34.9,139.6,2019-04-17
"2139","Package4",3,24.9,74.7,2019-04-17
"2140","Package5",4,24.8,99.2,2019-04-17
"2141","DriedBoquet1",1,49.5,49.5,2019-04-18
"2142","DriedBoquet2",3,41,123,2019-04-18
"2143","EucalyptSmudge",5,15.6,78,2019-04-18
"2144","SageSmudge",1,16.3,16.3,2019-04-18
"2145","RosePotpourri",1,12,12,2019-04-18
"2146","CDiskBamboo",4,29,116,2019-04-18
"2147","CDiskCoconut",3,26.9,80.7,2019-04-18
"2148","SmudgeBundle",4,53.3,213.2,2019-04-18
"2149","LoofahPack",5,12.1,60.5,2019-04-18
"2150","Package1",1,52.7,52.7,2019-04-18
"2151","BeeswaxCandle",1,27.2,27.2,2019-04-18
"2152","PackTeaCandles",2,8,16,2019-04-18
"2153","DreamPouch",2,18.8,37.6,2019-04-18
"2154","ParisPMirror",3,6.6,19.8,2019-04-18
"2155","MilanPMirror",1,5.7,5.7,2019-04-18
"2156","LoofahPack",1,29.4,29.4,2019-04-18
"2157","Package2",2,34.8,69.6,2019-04-18
"2158","Package3",4,34.9,139.6,2019-04-18
"2159","Package4",3,24.9,74.7,2019-04-18
"2160","Package5",4,24.8,99.2,2019-04-18
"2161","DriedBoquet1",1,49.5,49.5,2019-04-19
"2162","DriedBoquet2",3,41,123,2019-04-19
"2163","EucalyptSmudge",5,15.6,78,2019-04-19
"2164","SageSmudge",1,16.3,16.3,2019-04-19
"2165","RosePotpourri",1,12,12,2019-04-19
"2166","CDiskBamboo",4,29,116,2019-04-19
"2167","CDiskCoconut",3,26.9,80.7,2019-04-19
"2168","SmudgeBundle",4,53.3,213.2,2019-04-19
"2169","LoofahPack",5,12.1,60.5,2019-04-19
"2170","Package1",1,52.7,52.7,2019-04-19
"2171","BeeswaxCandle",1,27.2,27.2,2019-04-19
"2172","PackTeaCandles",2,8,16,2019-04-19
"2173","DreamPouch",2,18.8,37.6,2019-04-19
"2174","ParisPMirror",3,6.6,19.8,2019-04-19
"2175","MilanPMirror",1,5.7,5.7,2019-04-19
"2176","LoofahPack",1,29.4,29.4,2019-04-19
"2177","Package2",2,34.8,69.6,2019-04-19
"2178","Package3",4,34.9,139.6,2019-04-19
"2179","Package4",3,24.9,74.7,2019-04-19
"2180","Package5",4,24.8,99.2,2019-04-19
"2181","DriedBoquet1",1,49.5,49.5,2019-04-20
"2182","DriedBoquet2",3,41,123,2019-04-20
"2183","EucalyptSmudge",5,15.6,78,2019-04-20
"2184","SageSmudge",1,16.3,16.3,2019-04-20
"2185","RosePotpourri",1,12,12,2019-04-20
"2186","CDiskBamboo",4,29,116,2019-04-20
"2187","CDiskCoconut",3,26.9,80.7,2019-04-20
"2188","SmudgeBundle",4,53.3,213.2,2019-04-20
"2189","LoofahPack",5,12.1,60.5,2019-04-20
"2190","Package1",1,52.7,52.7,2019-04-20
"2191","BeeswaxCandle",1,27.2,27.2,2019-04-20
"2192","PackTeaCandles",2,8,16,2019-04-20
"2193","DreamPouch",2,18.8,37.6,2019-04-20
"2194","ParisPMirror",3,6.6,19.8,2019-04-20
"2195","MilanPMirror",1,5.7,5.7,2019-04-20
"2196","LoofahPack",1,29.4,29.4,2019-04-20
"2197","Package2",2,34.8,69.6,2019-04-20
"2198","Package3",4,34.9,139.6,2019-04-20
"2199","Package4",3,24.9,74.7,2019-04-20
"2200","Package5",4,24.8,99.2,2019-04-20
"2201","DriedBoquet1",1,49.5,49.5,2019-04-21
"2202","DriedBoquet2",3,41,123,2019-04-21
"2203","EucalyptSmudge",5,15.6,78,2019-04-21
"2204","SageSmudge",1,16.3,16.3,2019-04-21
"2205","RosePotpourri",1,12,12,2019-04-21
"2206","CDiskBamboo",4,29,116,2019-04-21
"2207","CDiskCoconut",3,26.9,80.7,2019-04-21
"2208","SmudgeBundle",4,53.3,213.2,2019-04-21
"2209","LoofahPack",5,12.1,60.5,2019-04-21
"2210","Package1",1,52.7,52.7,2019-04-21
"2211","BeeswaxCandle",1,27.2,27.2,2019-04-21
"2212","PackTeaCandles",2,8,16,2019-04-21
"2213","DreamPouch",2,18.8,37.6,2019-04-21
"2214","ParisPMirror",3,6.6,19.8,2019-04-21
"2215","MilanPMirror",1,5.7,5.7,2019-04-21
"2216","LoofahPack",1,29.4,29.4,2019-04-21
"2217","Package2",2,34.8,69.6,2019-04-21
"2218","Package3",4,34.9,139.6,2019-04-21
"2219","Package4",3,24.9,74.7,2019-04-21
"2220","Package5",4,24.8,99.2,2019-04-21
"2221","DriedBoquet1",1,49.5,49.5,2019-04-22
"2222","DriedBoquet2",3,41,123,2019-04-22
"2223","EucalyptSmudge",5,15.6,78,2019-04-22
"2224","SageSmudge",1,16.3,16.3,2019-04-22
"2225","RosePotpourri",1,12,12,2019-04-22
"2226","CDiskBamboo",4,29,116,2019-04-22
"2227","CDiskCoconut",3,26.9,80.7,2019-04-22
"2228","SmudgeBundle",4,53.3,213.2,2019-04-22
"2229","LoofahPack",5,12.1,60.5,2019-04-22
"2230","Package1",1,52.7,52.7,2019-04-22
"2231","BeeswaxCandle",1,27.2,27.2,2019-04-22
"2232","PackTeaCandles",2,8,16,2019-04-22
"2233","DreamPouch",2,18.8,37.6,2019-04-22
"2234","ParisPMirror",3,6.6,19.8,2019-04-22
"2235","MilanPMirror",1,5.7,5.7,2019-04-22
"2236","LoofahPack",1,29.4,29.4,2019-04-22
"2237","Package2",2,34.8,69.6,2019-04-22
"2238","Package3",4,34.9,139.6,2019-04-22
"2239","Package4",3,24.9,74.7,2019-04-22
"2240","Package5",4,24.8,99.2,2019-04-22
"2241","DriedBoquet1",1,49.5,49.5,2019-04-23
"2242","DriedBoquet2",3,41,123,2019-04-23
"2243","EucalyptSmudge",5,15.6,78,2019-04-23
"2244","SageSmudge",1,16.3,16.3,2019-04-23
"2245","RosePotpourri",1,12,12,2019-04-23
"2246","CDiskBamboo",4,29,116,2019-04-23
"2247","CDiskCoconut",3,26.9,80.7,2019-04-23
"2248","SmudgeBundle",4,53.3,213.2,2019-04-23
"2249","LoofahPack",5,12.1,60.5,2019-04-23
"2250","Package1",1,52.7,52.7,2019-04-23
"2251","BeeswaxCandle",1,27.2,27.2,2019-04-23
"2252","PackTeaCandles",2,8,16,2019-04-23
"2253","DreamPouch",2,18.8,37.6,2019-04-23
"2254","ParisPMirror",3,6.6,19.8,2019-04-23
"2255","MilanPMirror",1,5.7,5.7,2019-04-23
"2256","LoofahPack",1,29.4,29.4,2019-04-23
"2257","Package2",2,34.8,69.6,2019-04-23
"2258","Package3",4,34.9,139.6,2019-04-23
"2259","Package4",3,24.9,74.7,2019-04-23
"2260","Package5",4,24.8,99.2,2019-04-23
"2261","DriedBoquet1",1,49.5,49.5,2019-04-24
"2262","DriedBoquet2",3,41,123,2019-04-24
"2263","EucalyptSmudge",5,15.6,78,2019-04-24
"2264","SageSmudge",1,16.3,16.3,2019-04-24
"2265","RosePotpourri",1,12,12,2019-04-24
"2266","CDiskBamboo",4,29,116,2019-04-24
"2267","CDiskCoconut",3,26.9,80.7,2019-04-24
"2268","SmudgeBundle",4,53.3,213.2,2019-04-24
"2269","LoofahPack",5,12.1,60.5,2019-04-24
"2270","Package1",1,52.7,52.7,2019-04-24
"2271","BeeswaxCandle",1,27.2,27.2,2019-04-24
"2272","PackTeaCandles",2,8,16,2019-04-24
"2273","DreamPouch",2,18.8,37.6,2019-04-24
"2274","ParisPMirror",3,6.6,19.8,2019-04-24
"2275","MilanPMirror",1,5.7,5.7,2019-04-24
"2276","LoofahPack",1,29.4,29.4,2019-04-24
"2277","Package2",2,34.8,69.6,2019-04-24
"2278","Package3",4,34.9,139.6,2019-04-24
"2279","Package4",3,24.9,74.7,2019-04-24
"2280","Package5",4,24.8,99.2,2019-04-24
"2281","DriedBoquet1",1,49.5,49.5,2019-04-25
"2282","DriedBoquet2",3,41,123,2019-04-25
"2283","EucalyptSmudge",5,15.6,78,2019-04-25
"2284","SageSmudge",1,16.3,16.3,2019-04-25
"2285","RosePotpourri",1,12,12,2019-04-25
"2286","CDiskBamboo",4,29,116,2019-04-25
"2287","CDiskCoconut",3,26.9,80.7,2019-04-25
"2288","SmudgeBundle",4,53.3,213.2,2019-04-25
"2289","LoofahPack",5,12.1,60.5,2019-04-25
"2290","Package1",1,52.7,52.7,2019-04-25
"2291","BeeswaxCandle",1,27.2,27.2,2019-04-25
"2292","PackTeaCandles",2,8,16,2019-04-25
"2293","DreamPouch",2,18.8,37.6,2019-04-25
"2294","ParisPMirror",3,6.6,19.8,2019-04-25
"2295","MilanPMirror",1,5.7,5.7,2019-04-25
"2296","LoofahPack",1,29.4,29.4,2019-04-25
"2297","Package2",2,34.8,69.6,2019-04-25
"2298","Package3",4,34.9,139.6,2019-04-25
"2299","Package4",3,24.9,74.7,2019-04-25
"2300","Package5",4,24.8,99.2,2019-04-25
"2301","DriedBoquet1",1,49.5,49.5,2019-04-26
"2302","DriedBoquet2",3,41,123,2019-04-26
"2303","EucalyptSmudge",5,15.6,78,2019-04-26
"2304","SageSmudge",1,16.3,16.3,2019-04-26
"2305","RosePotpourri",1,12,12,2019-04-26
"2306","CDiskBamboo",4,29,116,2019-04-26
"2307","CDiskCoconut",3,26.9,80.7,2019-04-26
"2308","SmudgeBundle",4,53.3,213.2,2019-04-26
"2309","LoofahPack",5,12.1,60.5,2019-04-26
"2310","Package1",1,52.7,52.7,2019-04-26
"2311","BeeswaxCandle",1,27.2,27.2,2019-04-26
"2312","PackTeaCandles",2,8,16,2019-04-26
"2313","DreamPouch",2,18.8,37.6,2019-04-26
"2314","ParisPMirror",3,6.6,19.8,2019-04-26
"2315","MilanPMirror",1,5.7,5.7,2019-04-26
"2316","LoofahPack",1,29.4,29.4,2019-04-26
"2317","Package2",2,34.8,69.6,2019-04-26
"2318","Package3",4,34.9,139.6,2019-04-26
"2319","Package4",3,24.9,74.7,2019-04-26
"2320","Package5",4,24.8,99.2,2019-04-26
"2321","DriedBoquet1",1,49.5,49.5,2019-04-27
"2322","DriedBoquet2",3,41,123,2019-04-27
"2323","EucalyptSmudge",5,15.6,78,2019-04-27
"2324","SageSmudge",1,16.3,16.3,2019-04-27
"2325","RosePotpourri",1,12,12,2019-04-27
"2326","CDiskBamboo",4,29,116,2019-04-27
"2327","CDiskCoconut",3,26.9,80.7,2019-04-27
"2328","SmudgeBundle",4,53.3,213.2,2019-04-27
"2329","LoofahPack",5,12.1,60.5,2019-04-27
"2330","Package1",1,52.7,52.7,2019-04-27
"2331","BeeswaxCandle",1,27.2,27.2,2019-04-27
"2332","PackTeaCandles",2,8,16,2019-04-27
"2333","DreamPouch",2,18.8,37.6,2019-04-27
"2334","ParisPMirror",3,6.6,19.8,2019-04-27
"2335","MilanPMirror",1,5.7,5.7,2019-04-27
"2336","LoofahPack",1,29.4,29.4,2019-04-27
"2337","Package2",2,34.8,69.6,2019-04-27
"2338","Package3",4,34.9,139.6,2019-04-27
"2339","Package4",3,24.9,74.7,2019-04-27
"2340","Package5",4,24.8,99.2,2019-04-27
"2341","DriedBoquet1",1,49.5,49.5,2019-04-28
"2342","DriedBoquet2",3,41,123,2019-04-28
"2343","EucalyptSmudge",5,15.6,78,2019-04-28
"2344","SageSmudge",1,16.3,16.3,2019-04-28
"2345","RosePotpourri",1,12,12,2019-04-28
"2346","CDiskBamboo",4,29,116,2019-04-28
"2347","CDiskCoconut",3,26.9,80.7,2019-04-28
"2348","SmudgeBundle",4,53.3,213.2,2019-04-28
"2349","LoofahPack",5,12.1,60.5,2019-04-28
"2350","Package1",1,52.7,52.7,2019-04-28
"2351","BeeswaxCandle",1,27.2,27.2,2019-04-28
"2352","PackTeaCandles",2,8,16,2019-04-28
"2353","DreamPouch",2,18.8,37.6,2019-04-28
"2354","ParisPMirror",3,6.6,19.8,2019-04-28
"2355","MilanPMirror",1,5.7,5.7,2019-04-28
"2356","LoofahPack",1,29.4,29.4,2019-04-28
"2357","Package2",2,34.8,69.6,2019-04-28
"2358","Package3",4,34.9,139.6,2019-04-28
"2359","Package4",3,24.9,74.7,2019-04-28
"2360","Package5",4,24.8,99.2,2019-04-28
"2361","DriedBoquet1",1,49.5,49.5,2019-04-29
"2362","DriedBoquet2",3,41,123,2019-04-29
"2363","EucalyptSmudge",5,15.6,78,2019-04-29
"2364","SageSmudge",1,16.3,16.3,2019-04-29
"2365","RosePotpourri",1,12,12,2019-04-29
"2366","CDiskBamboo",4,29,116,2019-04-29
"2367","CDiskCoconut",3,26.9,80.7,2019-04-29
"2368","SmudgeBundle",4,53.3,213.2,2019-04-29
"2369","LoofahPack",5,12.1,60.5,2019-04-29
"2370","Package1",1,52.7,52.7,2019-04-29
"2371","BeeswaxCandle",1,27.2,27.2,2019-04-29
"2372","PackTeaCandles",2,8,16,2019-04-29
"2373","DreamPouch",2,18.8,37.6,2019-04-29
"2374","ParisPMirror",3,6.6,19.8,2019-04-29
"2375","MilanPMirror",1,5.7,5.7,2019-04-29
"2376","LoofahPack",1,29.4,29.4,2019-04-29
"2377","Package2",2,34.8,69.6,2019-04-29
"2378","Package3",4,34.9,139.6,2019-04-29
"2379","Package4",3,24.9,74.7,2019-04-29
"2380","Package5",4,24.8,99.2,2019-04-29
"2381","DriedBoquet1",1,49.5,49.5,2019-04-30
"2382","DriedBoquet2",3,41,123,2019-04-30
"2383","EucalyptSmudge",5,15.6,78,2019-04-30
"2384","SageSmudge",1,16.3,16.3,2019-04-30
"2385","RosePotpourri",1,12,12,2019-04-30
"2386","CDiskBamboo",4,29,116,2019-04-30
"2387","CDiskCoconut",3,26.9,80.7,2019-04-30
"2388","SmudgeBundle",4,53.3,213.2,2019-04-30
"2389","LoofahPack",5,12.1,60.5,2019-04-30
"2390","Package1",1,52.7,52.7,2019-04-30
"2391","BeeswaxCandle",1,27.2,27.2,2019-04-30
"2392","PackTeaCandles",2,8,16,2019-04-30
"2393","DreamPouch",2,18.8,37.6,2019-04-30
"2394","ParisPMirror",3,6.6,19.8,2019-04-30
"2395","MilanPMirror",1,5.7,5.7,2019-04-30
"2396","LoofahPack",1,29.4,29.4,2019-04-30
"2397","Package2",2,34.8,69.6,2019-04-30
"2398","Package3",4,34.9,139.6,2019-04-30
"2399","Package4",3,24.9,74.7,2019-04-30
"2400","Package5",4,24.8,99.2,2019-04-30
"2401","DriedBoquet1",1,49.5,49.5,2019-05-01
"2402","DriedBoquet2",3,41,123,2019-05-01
"2403","EucalyptSmudge",5,15.6,78,2019-05-01
"2404","SageSmudge",1,16.3,16.3,2019-05-01
"2405","RosePotpourri",1,12,12,2019-05-01
"2406","CDiskBamboo",4,29,116,2019-05-01
"2407","CDiskCoconut",3,26.9,80.7,2019-05-01
"2408","SmudgeBundle",4,53.3,213.2,2019-05-01
"2409","LoofahPack",5,12.1,60.5,2019-05-01
"2410","Package1",1,52.7,52.7,2019-05-01
"2411","BeeswaxCandle",1,27.2,27.2,2019-05-01
"2412","PackTeaCandles",2,8,16,2019-05-01
"2413","DreamPouch",2,18.8,37.6,2019-05-01
"2414","ParisPMirror",3,6.6,19.8,2019-05-01
"2415","MilanPMirror",1,5.7,5.7,2019-05-01
"2416","LoofahPack",1,29.4,29.4,2019-05-01
"2417","Package2",2,34.8,69.6,2019-05-01
"2418","Package3",4,34.9,139.6,2019-05-01
"2419","Package4",3,24.9,74.7,2019-05-01
"2420","Package5",4,24.8,99.2,2019-05-01
"2421","DriedBoquet1",1,49.5,49.5,2019-05-02
"2422","DriedBoquet2",3,41,123,2019-05-02
"2423","EucalyptSmudge",5,15.6,78,2019-05-02
"2424","SageSmudge",1,16.3,16.3,2019-05-02
"2425","RosePotpourri",1,12,12,2019-05-02
"2426","CDiskBamboo",4,29,116,2019-05-02
"2427","CDiskCoconut",3,26.9,80.7,2019-05-02
"2428","SmudgeBundle",4,53.3,213.2,2019-05-02
"2429","LoofahPack",5,12.1,60.5,2019-05-02
"2430","Package1",1,52.7,52.7,2019-05-02
"2431","BeeswaxCandle",1,27.2,27.2,2019-05-02
"2432","PackTeaCandles",2,8,16,2019-05-02
"2433","DreamPouch",2,18.8,37.6,2019-05-02
"2434","ParisPMirror",3,6.6,19.8,2019-05-02
"2435","MilanPMirror",1,5.7,5.7,2019-05-02
"2436","LoofahPack",1,29.4,29.4,2019-05-02
"2437","Package2",2,34.8,69.6,2019-05-02
"2438","Package3",4,34.9,139.6,2019-05-02
"2439","Package4",3,24.9,74.7,2019-05-02
"2440","Package5",4,24.8,99.2,2019-05-02
"2441","DriedBoquet1",1,49.5,49.5,2019-05-03
"2442","DriedBoquet2",3,41,123,2019-05-03
"2443","EucalyptSmudge",5,15.6,78,2019-05-03
"2444","SageSmudge",1,16.3,16.3,2019-05-03
"2445","RosePotpourri",1,12,12,2019-05-03
"2446","CDiskBamboo",4,29,116,2019-05-03
"2447","CDiskCoconut",3,26.9,80.7,2019-05-03
"2448","SmudgeBundle",4,53.3,213.2,2019-05-03
"2449","LoofahPack",5,12.1,60.5,2019-05-03
"2450","Package1",1,52.7,52.7,2019-05-03
"2451","BeeswaxCandle",1,27.2,27.2,2019-05-03
"2452","PackTeaCandles",2,8,16,2019-05-03
"2453","DreamPouch",2,18.8,37.6,2019-05-03
"2454","ParisPMirror",3,6.6,19.8,2019-05-03
"2455","MilanPMirror",1,5.7,5.7,2019-05-03
"2456","LoofahPack",1,29.4,29.4,2019-05-03
"2457","Package2",2,34.8,69.6,2019-05-03
"2458","Package3",4,34.9,139.6,2019-05-03
"2459","Package4",3,24.9,74.7,2019-05-03
"2460","Package5",4,24.8,99.2,2019-05-03
"2461","DriedBoquet1",1,49.5,49.5,2019-05-04
"2462","DriedBoquet2",3,41,123,2019-05-04
"2463","EucalyptSmudge",5,15.6,78,2019-05-04
"2464","SageSmudge",1,16.3,16.3,2019-05-04
"2465","RosePotpourri",1,12,12,2019-05-04
"2466","CDiskBamboo",4,29,116,2019-05-04
"2467","CDiskCoconut",3,26.9,80.7,2019-05-04
"2468","SmudgeBundle",4,53.3,213.2,2019-05-04
"2469","LoofahPack",5,12.1,60.5,2019-05-04
"2470","Package1",1,52.7,52.7,2019-05-04
"2471","BeeswaxCandle",1,27.2,27.2,2019-05-04
"2472","PackTeaCandles",2,8,16,2019-05-04
"2473","DreamPouch",2,18.8,37.6,2019-05-04
"2474","ParisPMirror",3,6.6,19.8,2019-05-04
"2475","MilanPMirror",1,5.7,5.7,2019-05-04
"2476","LoofahPack",1,29.4,29.4,2019-05-04
"2477","Package2",2,34.8,69.6,2019-05-04
"2478","Package3",4,34.9,139.6,2019-05-04
"2479","Package4",3,24.9,74.7,2019-05-04
"2480","Package5",4,24.8,99.2,2019-05-04
"2481","DriedBoquet1",1,49.5,49.5,2019-05-05
"2482","DriedBoquet2",3,41,123,2019-05-05
"2483","EucalyptSmudge",5,15.6,78,2019-05-05
"2484","SageSmudge",1,16.3,16.3,2019-05-05
"2485","RosePotpourri",1,12,12,2019-05-05
"2486","CDiskBamboo",4,29,116,2019-05-05
"2487","CDiskCoconut",3,26.9,80.7,2019-05-05
"2488","SmudgeBundle",4,53.3,213.2,2019-05-05
"2489","LoofahPack",5,12.1,60.5,2019-05-05
"2490","Package1",1,52.7,52.7,2019-05-05
"2491","BeeswaxCandle",1,27.2,27.2,2019-05-05
"2492","PackTeaCandles",2,8,16,2019-05-05
"2493","DreamPouch",2,18.8,37.6,2019-05-05
"2494","ParisPMirror",3,6.6,19.8,2019-05-05
"2495","MilanPMirror",1,5.7,5.7,2019-05-05
"2496","LoofahPack",1,29.4,29.4,2019-05-05
"2497","Package2",2,34.8,69.6,2019-05-05
"2498","Package3",4,34.9,139.6,2019-05-05
"2499","Package4",3,24.9,74.7,2019-05-05
"2500","Package5",4,24.8,99.2,2019-05-05
"2501","DriedBoquet1",1,49.5,49.5,2019-05-06
"2502","DriedBoquet2",3,41,123,2019-05-06
"2503","EucalyptSmudge",5,15.6,78,2019-05-06
"2504","SageSmudge",1,16.3,16.3,2019-05-06
"2505","RosePotpourri",1,12,12,2019-05-06
"2506","CDiskBamboo",4,29,116,2019-05-06
"2507","CDiskCoconut",3,26.9,80.7,2019-05-06
"2508","SmudgeBundle",4,53.3,213.2,2019-05-06
"2509","LoofahPack",5,12.1,60.5,2019-05-06
"2510","Package1",1,52.7,52.7,2019-05-06
"2511","BeeswaxCandle",1,27.2,27.2,2019-05-06
"2512","PackTeaCandles",2,8,16,2019-05-06
"2513","DreamPouch",2,18.8,37.6,2019-05-06
"2514","ParisPMirror",3,6.6,19.8,2019-05-06
"2515","MilanPMirror",1,5.7,5.7,2019-05-06
"2516","LoofahPack",1,29.4,29.4,2019-05-06
"2517","Package2",2,34.8,69.6,2019-05-06
"2518","Package3",4,34.9,139.6,2019-05-06
"2519","Package4",3,24.9,74.7,2019-05-06
"2520","Package5",4,24.8,99.2,2019-05-06
"2521","DriedBoquet1",1,49.5,49.5,2019-05-07
"2522","DriedBoquet2",3,41,123,2019-05-07
"2523","EucalyptSmudge",5,15.6,78,2019-05-07
"2524","SageSmudge",1,16.3,16.3,2019-05-07
"2525","RosePotpourri",1,12,12,2019-05-07
"2526","CDiskBamboo",4,29,116,2019-05-07
"2527","CDiskCoconut",3,26.9,80.7,2019-05-07
"2528","SmudgeBundle",4,53.3,213.2,2019-05-07
"2529","LoofahPack",5,12.1,60.5,2019-05-07
"2530","Package1",1,52.7,52.7,2019-05-07
"2531","BeeswaxCandle",1,27.2,27.2,2019-05-07
"2532","PackTeaCandles",2,8,16,2019-05-07
"2533","DreamPouch",2,18.8,37.6,2019-05-07
"2534","ParisPMirror",3,6.6,19.8,2019-05-07
"2535","MilanPMirror",1,5.7,5.7,2019-05-07
"2536","LoofahPack",1,29.4,29.4,2019-05-07
"2537","Package2",2,34.8,69.6,2019-05-07
"2538","Package3",4,34.9,139.6,2019-05-07
"2539","Package4",3,24.9,74.7,2019-05-07
"2540","Package5",4,24.8,99.2,2019-05-07
"2541","DriedBoquet1",1,49.5,49.5,2019-05-08
"2542","DriedBoquet2",3,41,123,2019-05-08
"2543","EucalyptSmudge",5,15.6,78,2019-05-08
"2544","SageSmudge",1,16.3,16.3,2019-05-08
"2545","RosePotpourri",1,12,12,2019-05-08
"2546","CDiskBamboo",4,29,116,2019-05-08
"2547","CDiskCoconut",3,26.9,80.7,2019-05-08
"2548","SmudgeBundle",4,53.3,213.2,2019-05-08
"2549","LoofahPack",5,12.1,60.5,2019-05-08
"2550","Package1",1,52.7,52.7,2019-05-08
"2551","BeeswaxCandle",1,27.2,27.2,2019-05-08
"2552","PackTeaCandles",2,8,16,2019-05-08
"2553","DreamPouch",2,18.8,37.6,2019-05-08
"2554","ParisPMirror",3,6.6,19.8,2019-05-08
"2555","MilanPMirror",1,5.7,5.7,2019-05-08
"2556","LoofahPack",1,29.4,29.4,2019-05-08
